,City,Country,Lat,Lng,Date,Max Temp,Humidity,Clouds,Wind Speed
41,noumea,NC,-22.28,166.46,1565569951.0,73.4,73.0,90.0,9.17
42,yumbel,CL,-37.1,-72.56,1565569952.0,48.2,87.0,40.0,4.7
43,northam,AU,-31.65,116.67,1565569953.0,57.2,50.0,0.0,16.11
44,narsaq,GL,60.91,-46.05,1565569954.0,55.4,35.0,0.0,17.22
45,bagru,IN,26.81,75.54,1565569956.0,78.8,100.0,40.0,4.7
46,buala,SB,-8.15,159.59,1565569957.0,82.43,81.0,61.0,11.39
47,kapaa,US,22.08,-159.32,1565569958.0,87.8,66.0,1.0,9.17
48,portland,US,43.66,-70.25,1565569779.0,71.6,49.0,75.0,4.7
49,ilulissat,GL,69.22,-51.1,1565569960.0,55.4,30.0,40.0,9.17
50,dikson,RU,73.51,80.55,1565569962.0,40.13,90.0,94.0,10.94
52,punta arenas,CL,-53.16,-70.91,1565569963.0,30.2,68.0,0.0,8.05
53,lebu,ET,8.96,38.73,1565569964.0,57.2,93.0,75.0,6.93
54,takoradi,GH,4.89,-1.75,1565569966.0,72.17,89.0,32.0,4.32
55,terre-de-bas,GP,15.85,-61.64,1565569967.0,80.6,78.0,0.0,4.7
56,geraldton,CA,49.72,-86.95,1565569968.0,69.8,40.0,20.0,6.93
58,busselton,AU,-33.64,115.35,1565569969.0,55.99,44.0,0.0,21.39
59,bambous virieux,MU,-20.34,57.76,1565569971.0,71.6,73.0,40.0,12.75
60,oranjemund,ZA,-28.55,16.43,1565569972.0,55.61,88.0,0.0,11.12
61,fort saint james,CA,54.43,-124.25,1565569973.0,64.07,68.0,99.0,3.27
62,fortuna,ES,38.18,-1.13,1565569974.0,81.0,83.0,20.0,1.12
63,tuktoyaktuk,CA,69.44,-133.03,1565569975.0,44.6,93.0,90.0,13.87
64,bluff,AU,-23.58,149.07,1565569977.0,59.75,41.0,0.0,2.13
65,brae,GB,60.4,-1.35,1565569978.0,51.8,76.0,96.0,6.93
66,rawson,AR,-43.3,-65.11,1565569979.0,41.0,86.0,75.0,8.05
67,sanming,CN,26.24,117.6,1565569980.0,78.65,84.0,21.0,1.83
68,fenoarivo,MG,-18.93,47.44,1565569982.0,57.2,87.0,75.0,4.7
69,kondoa,TZ,-4.91,35.78,1565569983.0,54.71,74.0,10.0,5.08
70,les cayes,HT,18.19,-73.75,1565569984.0,83.15,75.0,0.0,15.61
72,port alfred,ZA,-33.59,26.89,1565569985.0,59.0,75.0,78.0,5.01
73,meulaboh,ID,4.14,96.13,1565569987.0,81.71,74.0,100.0,8.93
77,roald,NO,62.58,6.12,1565569988.0,59.0,100.0,100.0,2.24
78,itaguai,BR,-22.85,-43.78,1565569989.0,73.4,94.0,75.0,3.36
79,mataura,NZ,-46.19,168.86,1565569991.0,48.0,74.0,72.0,10.0
80,flinders,AU,-34.58,150.85,1565569992.0,61.0,54.0,40.0,10.29
81,torbat-e jam,IR,35.24,60.63,1565569993.0,66.41,18.0,0.0,13.18
82,college,US,64.86,-147.8,1565569994.0,71.6,40.0,20.0,9.17
84,tulum,MX,20.21,-87.46,1565569996.0,86.0,79.0,75.0,6.93
85,daru,PG,-9.07,143.21,1565569997.0,79.19,72.0,100.0,8.55
86,georgetown,GY,6.8,-58.16,1565569998.0,82.4,83.0,20.0,6.93
87,san patricio,PY,-26.98,-56.83,1565569999.0,61.19,89.0,0.0,3.38
88,sarkand,KZ,45.41,79.91,1565570001.0,63.53,34.0,77.0,1.21
89,kaura namoda,NG,12.59,6.58,1565570002.0,75.41,81.0,47.0,8.86
90,puerto ayora,EC,-0.74,-90.35,1565570003.0,71.6,73.0,0.0,17.22
91,pallasovka,RU,50.04,46.89,1565570004.0,55.79,79.0,53.0,14.45
92,arraial do cabo,BR,-22.97,-42.02,1565570005.0,71.27,94.0,0.0,10.78
93,nome,US,30.04,-94.42,1565570007.0,91.4,66.0,1.0,5.82
94,tuatapere,NZ,-46.13,167.69,1565570008.0,48.0,74.0,87.0,10.0
95,poya,NC,-21.35,165.16,1565570009.0,70.73,70.0,100.0,8.72
96,khatanga,RU,71.98,102.47,1565570010.0,68.03,49.0,0.0,6.42
97,tiksi,RU,71.64,128.87,1565570012.0,56.51,64.0,66.0,4.09
98,ponta do sol,BR,-20.63,-46.0,1565570013.0,67.49,57.0,0.0,2.06
99,ancud,CL,-41.87,-73.83,1565570014.0,41.0,100.0,75.0,4.7
100,luderitz,NA,-26.65,15.16,1565570015.0,55.4,76.0,0.0,13.87
101,limot,PH,7.04,126.27,1565570017.0,82.4,78.0,20.0,3.36
102,coihaique,CL,-45.58,-72.07,1565569900.0,39.2,86.0,90.0,4.7
103,yar-sale,RU,66.83,70.83,1565569990.0,47.51,67.0,100.0,10.71
104,saint-felicien,CA,48.65,-72.45,1565569830.0,66.0,88.0,75.0,6.93
105,yulara,AU,-25.24,130.99,1565570021.0,55.4,50.0,0.0,12.75
106,aguimes,ES,27.91,-15.45,1565570023.0,73.4,56.0,0.0,23.04
107,maceio,BR,-9.67,-35.74,1565569796.0,73.4,83.0,75.0,5.82
108,zhuhai,CN,40.71,112.04,1565570025.0,69.8,64.0,0.0,2.24
109,klaksvik,FO,62.23,-6.59,1565570026.0,46.4,87.0,65.0,9.28
110,fairbanks,US,64.84,-147.72,1565569754.0,69.8,40.0,20.0,9.17
111,nelson bay,AU,-32.72,152.14,1565570028.0,60.01,50.0,75.0,17.22
112,pithoragarh,IN,29.59,80.22,1565570030.0,66.41,93.0,90.0,1.97
113,barra,GM,13.49,-16.54,1565570031.0,77.0,94.0,75.0,4.7
114,anadyr,RU,64.73,177.51,1565570032.0,53.6,87.0,90.0,15.66
115,la ronge,CA,55.1,-105.3,1565570033.0,66.2,48.0,20.0,2.24
116,amarillo,US,35.21,-101.83,1565569954.0,96.8,26.0,40.0,18.34
117,amahai,ID,-3.31,129.0,1565570036.0,77.03,86.0,100.0,15.03
118,hobart,AU,-42.88,147.33,1565569806.0,52.0,57.0,75.0,20.8
119,yerbogachen,RU,61.28,108.01,1565570038.0,63.35,55.0,77.0,12.86
121,bredasdorp,ZA,-34.53,20.04,1565570039.0,51.8,76.0,28.0,8.05
122,port-gentil,GA,-0.72,8.78,1565570041.0,71.6,94.0,20.0,4.7
123,upernavik,GL,72.79,-56.15,1565570042.0,45.71,63.0,10.0,7.4
124,saskylakh,RU,71.97,114.09,1565570043.0,66.41,50.0,0.0,10.11
125,praia da vitoria,PT,38.73,-27.07,1565570045.0,70.0,83.0,40.0,13.89
126,shache,CN,38.42,77.24,1565570046.0,73.99,72.0,40.0,3.38
127,armidale,AU,-30.51,151.67,1565570047.0,35.01,79.0,91.0,1.99
128,saint-philippe,CA,45.36,-73.48,1565570048.0,75.2,50.0,1.0,11.41
129,yurty,RU,56.05,97.64,1565570050.0,53.81,78.0,0.0,8.63
130,skjervoy,NO,70.03,20.97,1565570051.0,54.53,81.0,99.0,2.13
131,ahuimanu,US,21.44,-157.84,1565570052.0,87.8,62.0,75.0,17.22
132,subiaco,AU,-31.95,115.83,1565570053.0,62.01,54.0,0.0,13.87
133,korem,ET,12.51,39.52,1565570054.0,57.77,86.0,100.0,3.87
134,uglovskoye,RU,51.36,80.19,1565570056.0,59.21,52.0,0.0,5.19
135,mar del plata,AR,-46.43,-67.52,1565570057.0,33.11,54.0,25.0,12.26
136,boyuibe,BO,-20.43,-63.28,1565570058.0,71.6,83.0,0.0,4.92
140,hermanus,ZA,-34.42,19.24,1565570060.0,51.01,96.0,17.0,5.01
141,nampula,MZ,-15.12,39.26,1565570061.0,68.0,94.0,75.0,3.36
142,aljezur,PT,37.31,-8.8,1565570062.0,68.0,59.0,33.0,22.03
143,mazatlan,MX,23.22,-106.42,1565570063.0,90.0,62.0,40.0,6.93
144,hithadhoo,MV,-0.6,73.08,1565570065.0,83.15,71.0,100.0,12.35
145,san pedro del pinatar,ES,37.84,-0.79,1565570066.0,81.0,83.0,50.0,2.24
146,augustow,PL,53.84,22.98,1565570067.0,66.0,94.0,55.0,7.45
147,hami,CN,42.84,93.51,1565570068.0,74.51,23.0,0.0,6.98
148,darnah,LY,32.77,22.64,1565570070.0,79.19,82.0,0.0,16.75
149,awjilah,LY,29.14,21.3,1565570071.0,74.87,78.0,0.0,11.83
150,srednekolymsk,RU,67.46,153.71,1565570072.0,65.33,51.0,0.0,12.06
151,broken hill,AU,-31.97,141.45,1565570073.0,44.6,70.0,0.0,9.17
152,jertih,MY,5.74,102.5,1565570074.0,75.2,94.0,90.0,2.24
153,aksu,KZ,52.04,76.93,1565570076.0,55.4,71.0,0.0,4.47
154,olinda,AU,-37.84,145.39,1565570077.0,53.01,81.0,75.0,11.41
155,coquimbo,CL,-29.95,-71.34,1565569931.0,53.6,81.0,0.0,5.82
156,grand gaube,MU,-20.01,57.66,1565570079.0,72.0,73.0,40.0,12.75
157,laurel,US,39.1,-76.85,1565570080.0,81.0,77.0,1.0,4.99
159,pevek,RU,69.7,170.27,1565570082.0,37.61,92.0,3.0,22.53
160,atikokan,CA,48.76,-91.62,1565570083.0,70.19,44.0,0.0,5.5
161,necochea,AR,-38.55,-58.74,1565570084.0,48.0,81.0,84.0,3.0
162,havelock,US,34.88,-76.9,1565570085.0,82.4,65.0,1.0,9.17
163,alice springs,AU,-23.7,133.88,1565570087.0,55.4,54.0,0.0,13.87
164,auki,NG,12.18,6.51,1565570088.0,74.15,82.0,43.0,9.31
165,karpathos,GR,35.51,27.21,1565570089.0,75.2,88.0,0.0,20.8
166,amarante do maranhao,BR,-5.57,-46.74,1565570090.0,77.03,45.0,0.0,2.77
167,beipiao,CN,41.8,120.76,1565570092.0,67.49,92.0,100.0,16.73
168,iqaluit,CA,63.75,-68.52,1565569986.0,41.0,86.0,20.0,6.93
169,norman wells,CA,65.28,-126.83,1565570094.0,55.4,62.0,75.0,2.24
170,haapsalu,EE,58.95,23.55,1565570095.0,64.99,100.0,40.0,8.05
171,sistranda,NO,63.73,8.83,1565570096.0,60.01,93.0,90.0,5.82
172,sangar,RU,63.92,127.47,1565570098.0,67.31,58.0,24.0,2.55
173,nakhon thai,TH,17.1,100.84,1565570099.0,78.8,88.0,75.0,3.36
175,alofi,NU,-19.06,-169.92,1565570100.0,80.6,74.0,75.0,14.99
176,balabac,PH,7.99,117.06,1565570101.0,83.51,82.0,100.0,5.19
177,manaure,CO,11.78,-72.45,1565570103.0,86.0,74.0,20.0,16.11
178,camacha,PT,33.08,-16.33,1565570104.0,73.4,73.0,20.0,10.29
179,faanui,PF,-16.48,-151.75,1565570105.0,79.37,79.0,13.0,12.12
180,codrington,AU,-28.95,153.24,1565570106.0,60.01,40.0,0.0,13.87
181,vostok,RU,46.45,135.83,1565570108.0,60.65,99.0,100.0,1.95
182,half moon bay,US,37.46,-122.43,1565570005.0,84.99,72.0,1.0,18.34
185,alpena,US,45.06,-83.43,1565570110.0,75.2,60.0,90.0,4.7
186,xaxim,BR,-26.96,-52.53,1565570111.0,66.2,72.0,0.0,9.17
187,rauma,FI,61.13,21.5,1565570113.0,60.8,93.0,98.0,6.93
188,bouar,CF,5.94,15.59,1565570114.0,65.51,95.0,100.0,2.24
190,lata,IN,30.78,78.62,1565570115.0,41.03,92.0,37.0,1.34
191,macas,EC,-2.3,-78.12,1565570116.0,69.8,94.0,20.0,2.24
192,kokkarion,GR,37.78,26.89,1565570118.0,82.4,45.0,0.0,18.34
193,vestmannaeyjar,IS,63.44,-20.27,1565570119.0,46.61,75.0,62.0,26.46
194,sur,OM,22.57,59.53,1565570120.0,77.39,80.0,100.0,14.63
195,pokhara,NP,28.21,83.99,1565570121.0,58.31,77.0,100.0,3.02
196,airai,TL,-8.93,125.41,1565570122.0,80.81,37.0,1.0,1.57
198,saint george,GR,39.45,22.34,1565570124.0,80.6,47.0,0.0,0.92
199,ahipara,NZ,-35.17,173.16,1565570125.0,60.01,100.0,47.0,28.9
200,pangnirtung,CA,66.15,-65.72,1565570126.0,46.25,70.0,0.0,4.43
201,severo-kurilsk,RU,50.68,156.12,1565570127.0,49.31,93.0,43.0,13.35
202,avarua,CK,-21.21,-159.78,1565570129.0,77.0,73.0,22.0,6.93
203,salinopolis,BR,-0.61,-47.36,1565570130.0,82.07,78.0,0.0,19.33
204,harper,US,30.3,-99.24,1565570131.0,96.8,28.0,1.0,8.05
205,barrow,AR,-38.31,-60.23,1565570132.0,47.87,59.0,13.0,5.35
206,inirida,CO,3.87,-67.92,1565570134.0,75.05,94.0,16.0,1.9
207,santa ana,MX,30.54,-111.12,1565569969.0,93.0,44.0,0.0,4.0
208,sembakung,ID,3.82,117.25,1565570048.0,82.4,83.0,75.0,6.93
209,conceicao da barra,BR,-18.59,-39.73,1565570137.0,68.93,90.0,10.0,4.7
210,albina,GF,5.5,-54.06,1565570138.0,74.15,98.0,100.0,2.98
211,polovinnoye,RU,54.79,65.99,1565570140.0,67.49,54.0,86.0,5.46
212,dauphin,CA,51.15,-100.04,1565570124.0,69.8,43.0,1.0,9.17
213,kota kinabalu,MY,5.98,116.07,1565570142.0,82.4,74.0,75.0,5.82
215,praia,BR,-20.25,-43.81,1565570143.0,69.8,56.0,0.0,4.59
216,chuy,UY,-33.69,-53.46,1565570145.0,50.93,90.0,75.0,8.59
217,yagodnoye,RU,62.52,149.63,1565570146.0,60.83,63.0,11.0,5.35
218,vila franca do campo,PT,37.72,-25.43,1565570147.0,68.0,82.0,40.0,10.29
219,haines junction,CA,60.75,-137.51,1565570148.0,63.35,37.0,100.0,1.97
220,lerwick,GB,60.15,-1.15,1565570150.0,51.8,76.0,96.0,3.36
221,hambantota,LK,6.12,81.12,1565570151.0,80.45,80.0,100.0,22.53
222,vanavara,RU,60.35,102.28,1565570152.0,53.09,96.0,100.0,13.82
224,kilindoni,TZ,-7.91,39.67,1565570153.0,76.85,79.0,18.0,18.34
225,komsomolskiy,RU,67.55,63.78,1565570155.0,32.93,92.0,96.0,9.82
226,guanica,PR,17.97,-66.91,1565570156.0,82.99,83.0,40.0,3.36
227,dukat,AL,40.25,19.57,1565570157.0,81.0,53.0,0.0,3.47
228,isangel,VU,-19.55,169.27,1565570158.0,86.0,70.0,75.0,9.17
230,katsuura,JP,33.93,134.5,1565570160.0,87.01,74.0,75.0,4.7
231,te anau,NZ,-45.41,167.72,1565570161.0,39.59,93.0,78.0,3.83
232,thompson,CA,55.74,-97.86,1565570162.0,66.2,45.0,40.0,13.87
233,wewak,PG,-3.55,143.63,1565570163.0,82.07,68.0,97.0,1.88
234,hemsedal,NO,60.86,8.55,1565570165.0,51.01,90.0,96.0,3.56
235,merritt,CA,50.11,-120.79,1565570166.0,68.0,60.0,75.0,19.46
237,tommot,RU,58.97,126.27,1565570167.0,62.99,65.0,29.0,2.24
238,nyurba,RU,63.29,118.35,1565570169.0,66.59,61.0,1.0,2.73
239,zhigalovo,RU,54.81,105.15,1565570170.0,50.75,89.0,92.0,3.69
240,russkaya polyana,RU,53.78,73.88,1565570171.0,65.33,61.0,83.0,8.75
241,hailar,CN,49.2,119.7,1565570052.0,60.83,79.0,1.0,5.17
242,hingoli,IN,19.72,77.14,1565570173.0,71.99,91.0,72.0,7.18
243,mahebourg,MU,-20.41,57.7,1565569995.0,71.6,73.0,40.0,12.75
244,viloco,BO,-16.87,-67.5,1565570176.0,41.03,87.0,0.0,4.68
245,cidreira,BR,-30.17,-50.22,1565570177.0,59.57,83.0,17.0,14.94
247,ostrovnoy,RU,68.05,39.51,1565570178.0,42.83,79.0,97.0,16.08
248,berlevag,NO,70.86,29.09,1565570180.0,48.59,93.0,100.0,12.39
249,padang,ID,-0.92,100.36,1565570181.0,80.81,80.0,99.0,11.27
250,lennec,PH,15.68,120.73,1565570182.0,82.4,88.0,75.0,2.24
251,castro,CL,-42.48,-73.76,1565570124.0,41.0,100.0,75.0,4.7
252,clyde river,CA,70.47,-68.59,1565570185.0,41.0,100.0,90.0,12.75
253,sisimiut,GL,66.94,-53.67,1565570049.0,48.41,64.0,21.0,10.29
254,alyangula,AU,-13.85,136.42,1565570139.0,75.2,41.0,83.0,9.17
257,borgarnes,IS,64.54,-21.92,1565570188.0,46.4,65.0,75.0,14.99
258,kaitangata,NZ,-46.28,169.85,1565570190.0,48.99,74.0,54.0,10.0
259,santa cruz,BR,-6.22,-36.02,1565570191.0,70.01,80.0,3.0,17.2
260,kulhudhuffushi,MV,6.62,73.07,1565570180.0,83.33,73.0,91.0,14.83
261,constitucion,MX,23.99,-104.67,1565570193.0,82.4,23.0,20.0,6.93
262,saint-pierre,FR,48.95,4.24,1565570194.0,57.0,93.0,0.0,9.17
263,pisco,PE,-13.71,-76.2,1565570196.0,61.0,82.0,0.0,10.29
264,nizwa,OM,22.93,57.53,1565570197.0,86.03,41.0,79.0,0.92
265,san cristobal,HN,14.68,-86.92,1565570182.0,76.49,60.0,4.0,6.87
267,shimoda,JP,34.7,138.93,1565570199.0,82.4,100.0,75.0,9.17
270,oyem,GA,1.6,11.57,1565570201.0,66.77,99.0,100.0,2.77
271,lima,PE,-12.06,-77.04,1565569974.0,59.0,87.0,90.0,9.17
272,kavaratti,IN,10.57,72.64,1565570203.0,82.79,75.0,80.0,19.42
274,tarko-sale,RU,64.92,77.78,1565570205.0,42.01,92.0,100.0,2.53
275,fukue,JP,35.03,136.69,1565570206.0,91.99,58.0,75.0,12.75
276,lagoa,PT,37.14,-8.45,1565570144.0,69.8,49.0,0.0,17.22
277,cap-aux-meules,CA,47.38,-61.86,1565570208.0,66.2,72.0,75.0,11.41
278,vardo,US,39.62,-77.74,1565570210.0,78.8,34.0,1.0,4.7
279,east london,ZA,-33.02,27.91,1565570211.0,52.01,82.0,50.0,5.57
280,edmundston,CA,47.36,-68.33,1565569917.0,62.6,72.0,90.0,8.05
281,igarka,RU,67.47,86.57,1565570213.0,50.39,89.0,94.0,8.48
282,leningradskiy,RU,69.38,178.42,1565570215.0,39.95,93.0,100.0,18.3
284,xining,CN,36.62,101.77,1565570216.0,53.63,55.0,0.0,1.97
285,baiyin,CN,36.55,104.13,1565570217.0,62.6,51.0,0.0,4.47
286,barreirinhas,BR,-2.75,-42.83,1565570218.0,74.69,86.0,0.0,5.44
287,lompoc,US,34.64,-120.46,1565570219.0,80.01,87.0,90.0,10.29
288,nokaneng,BW,-19.66,22.19,1565570221.0,59.21,29.0,0.0,2.98
290,santa cruz del norte,CU,23.15,-81.92,1565570222.0,86.0,70.0,20.0,8.05
291,namibe,AO,-15.19,12.15,1565570223.0,63.35,85.0,35.0,9.89
292,north bend,US,43.41,-124.22,1565570225.0,80.01,68.0,1.0,11.41
293,oktyabrskiy,RU,55.61,37.97,1565570226.0,54.0,81.0,9.0,4.47
294,mamakan,RU,57.82,114.02,1565570227.0,66.95,49.0,92.0,2.33
295,banyo,CM,6.75,11.81,1565570228.0,61.73,93.0,90.0,1.28
296,salta,AR,-24.79,-65.41,1565570229.0,57.2,41.0,0.0,6.93
297,karaton,ID,-6.34,106.1,1565570231.0,77.0,73.0,20.0,6.93
298,longyearbyen,NO,78.22,15.63,1565570232.0,42.8,70.0,75.0,5.82
299,wabana,CA,47.63,-52.95,1565570233.0,66.99,82.0,90.0,12.75
300,yangjiang,CN,21.85,111.96,1565570234.0,81.89,87.0,82.0,4.32
301,ploemeur,FR,47.73,-3.43,1565570236.0,61.0,87.0,62.0,6.93
302,piacabucu,BR,-10.41,-36.43,1565570237.0,73.79,88.0,23.0,10.67
303,latung,ID,-8.45,120.42,1565570238.0,77.75,69.0,15.0,3.27
304,cabo san lucas,MX,22.89,-109.91,1565570191.0,90.0,58.0,20.0,6.93
305,camacupa,AO,-12.02,17.48,1565570240.0,56.69,29.0,0.0,3.65
306,fare,PF,-16.7,-151.02,1565570243.0,79.19,79.0,21.0,13.49
307,visnes,NO,59.36,5.22,1565570244.0,61.0,93.0,92.0,5.82
308,labuhan,ID,-2.54,115.51,1565570245.0,77.93,75.0,80.0,1.72
309,poum,MK,41.28,20.71,1565570124.0,66.2,59.0,20.0,5.82
310,okhotsk,RU,59.36,143.24,1565570248.0,55.43,90.0,100.0,3.22
312,ribeira grande,PT,38.52,-28.7,1565570249.0,70.55,80.0,44.0,4.5
313,touros,BR,-5.2,-35.46,1565570250.0,73.4,94.0,20.0,4.7
314,krasnoyarskiy,RU,51.97,59.9,1565570251.0,58.49,86.0,71.0,6.87
315,mpika,ZM,-11.84,31.4,1565570253.0,52.91,54.0,0.0,6.2
317,mangotsfield,GB,51.49,-2.5,1565570254.0,57.0,93.0,60.0,4.7
318,smithers,CA,54.78,-127.17,1565570255.0,64.4,72.0,75.0,9.17
319,sumbe,AO,-11.2,13.84,1565570256.0,68.93,90.0,52.0,11.74
320,viedma,AR,-40.81,-62.99,1565570258.0,44.09,88.0,68.0,28.19
321,gboko,NG,7.32,9.0,1565570259.0,73.07,93.0,41.0,8.5
322,sabang,PH,13.8,121.11,1565570260.0,87.01,62.0,50.0,8.01
323,shulan,CN,44.41,126.94,1565570261.0,67.85,98.0,100.0,7.05
324,hasaki,JP,35.73,140.83,1565570263.0,86.0,88.0,75.0,4.7
326,carutapera,BR,-1.2,-46.02,1565570264.0,78.65,82.0,12.0,7.67
327,husavik,CA,50.56,-96.99,1565570265.0,73.0,34.0,19.0,2.26
328,palana,RU,59.08,159.95,1565570266.0,50.39,95.0,67.0,15.88
329,de aar,ZA,-30.65,24.01,1565570268.0,40.85,76.0,0.0,5.46
330,ust-omchug,RU,61.13,149.63,1565570269.0,61.01,57.0,79.0,6.46
331,dalby,AU,-27.18,151.26,1565570270.0,59.0,38.0,0.0,16.11
332,jurmala,LV,56.97,23.77,1565570271.0,55.4,93.0,0.0,8.05
333,mezen,RU,65.85,44.24,1565570273.0,33.83,90.0,47.0,2.28
334,baghdad,IQ,33.3,44.38,1565570060.0,89.6,24.0,0.0,8.05
335,izhma,RU,65.01,53.91,1565570275.0,37.97,92.0,38.0,9.62
336,esperance,AU,-33.86,121.89,1565570276.0,48.2,93.0,0.0,12.75
337,rumphi,MW,-11.02,33.86,1565570277.0,53.45,71.0,0.0,7.34
338,methoni,GR,36.82,21.7,1565570279.0,78.01,83.0,0.0,4.7
339,langarud,IR,37.2,50.15,1565570280.0,73.4,94.0,0.0,3.58
340,nouakchott,MR,18.08,-15.98,1565570281.0,78.8,88.0,20.0,18.34
341,siverskiy,RU,59.35,30.08,1565570282.0,60.8,100.0,90.0,4.47
342,warrnambool,AU,-38.38,142.48,1565570283.0,51.01,55.0,82.0,4.0
343,lashio,MM,22.93,97.75,1565570285.0,71.09,99.0,89.0,0.54
344,izmalkovo,RU,52.69,37.97,1565570286.0,53.63,81.0,38.0,5.26
345,asyut,EG,27.18,31.19,1565570287.0,84.2,39.0,0.0,3.36
346,shingu,JP,33.72,135.99,1565570152.0,86.0,70.0,75.0,3.36
347,miri,NG,10.31,9.75,1565570290.0,71.09,84.0,98.0,6.44
348,sao gabriel da cachoeira,BR,-0.13,-67.09,1565570291.0,77.93,77.0,36.0,2.35
350,itarema,BR,-2.92,-39.92,1565570292.0,76.49,74.0,0.0,9.6
351,oyama,JP,36.31,139.8,1565570293.0,88.0,78.0,75.0,2.24
352,saldanha,PT,41.42,-6.55,1565570155.0,53.99,75.0,10.0,5.26
353,gigmoto,PH,13.78,124.39,1565570296.0,82.97,77.0,100.0,12.84
354,gamba,CN,28.28,88.52,1565570297.0,40.49,81.0,24.0,1.97
355,sechura,PE,-5.56,-80.82,1565570298.0,62.27,84.0,12.0,16.58
356,queimadas,BR,-7.36,-35.9,1565570299.0,68.0,94.0,0.0,6.93
357,itoman,JP,26.12,127.67,1565570301.0,87.8,79.0,40.0,5.82
359,waingapu,ID,-9.65,120.26,1565570302.0,77.93,67.0,57.0,12.01
360,margate,AU,-43.03,147.26,1565570303.0,52.0,57.0,75.0,20.8
361,souillac,FR,45.6,-0.6,1565570304.0,57.2,93.0,0.0,1.12
362,kalmar,SE,56.66,16.36,1565570306.0,66.0,77.0,82.0,6.93
363,bowen,AU,-20.01,148.25,1565570307.0,70.0,17.0,0.0,10.29
365,guaranesia,BR,-21.3,-46.8,1565570308.0,69.47,53.0,0.0,7.11
366,mount gambier,AU,-37.83,140.78,1565570309.0,48.2,76.0,40.0,5.82
367,morondava,MG,-20.3,44.28,1565570131.0,71.45,89.0,11.0,6.46
368,sergeyevka,KZ,53.88,67.42,1565570202.0,68.57,51.0,87.0,9.17
370,kedrovyy,RU,56.17,91.82,1565570313.0,53.6,87.0,0.0,5.23
371,moron,HT,18.56,-74.26,1565570314.0,82.61,75.0,26.0,3.29
372,cape coast,GH,5.11,-1.24,1565570316.0,73.25,89.0,48.0,10.33
375,pochutla,MX,15.74,-96.47,1565570192.0,86.0,74.0,75.0,8.05
